id,data_inicio,data_fim,hora_inicio,hora_fim,id_subsistema,tipo,tratamento,descricao,referencia
A10,2018-03-21,2018-03-21,15,21,*,evento_documentado,excluir,Apagão de 21/03/2018 às 15h48: abertura indevida de disjuntor na SE Xingu (bipolo Belo Monte); 18.000 MW interrompidos (22.5% do SIN); N e NE desligados por horas; 14 estados,Agência Brasil 04/2018; ONS 06/05/2018
A11,2018-08-25,2018-08-25,,,NE,artefato_provavel,excluir,Dia inteiro com carga de 2.5 a 5.9 GW (um terço do habitual) sem evento conhecido; a base diária do ONS traz o mesmo valor. Provável falha de dado na origem,docs/07-anomalias.md
A12,2018-10-18,2018-10-18,21,21,N,artefato_provavel,excluir,Queda isolada de 1.5 GW por uma hora (5.8 -> 4.3 -> habitual); sem evento conhecido,docs/07-anomalias.md
E1,2022-11-24,2022-11-24,16,17,*,evento_documentado,sinalizar,Copa 2022: Brasil x Sérvia 16h; carga -14 a -15% na hora do jogo (SE),docs/07-anomalias.md
E2,2022-11-28,2022-11-28,13,14,*,evento_documentado,sinalizar,Copa 2022: Brasil x Suíça 13h; carga -16 a -24% conforme subsistema,docs/07-anomalias.md
E3,2022-12-02,2022-12-02,16,17,*,evento_documentado,sinalizar,Copa 2022: Brasil x Camarões 16h; carga -9 a -10% (SE),docs/07-anomalias.md
E4,2022-12-05,2022-12-05,16,17,*,evento_documentado,sinalizar,Copa 2022: Brasil x Coreia 16h; carga -9 a -11% (SE),docs/07-anomalias.md
E5,2022-12-09,2022-12-09,12,14,*,evento_documentado,sinalizar,Copa 2022: Brasil x Croácia 12h; carga -13 a -16% (SE),docs/07-anomalias.md
E6,2026-06-13,2026-06-13,19,20,*,evento_documentado,sinalizar,Copa 2026: Brasil x Marrocos 19h (sábado),olympics.com; soccerway
E7,2026-06-19,2026-06-19,21,22,*,evento_documentado,sinalizar,Copa 2026: Brasil x Haiti 22h; carga -10 a -12% às 21-22h (SE),olympics.com; soccerway
E8,2026-06-24,2026-06-24,19,20,*,evento_documentado,sinalizar,Copa 2026: Brasil x Escócia 19h; carga -13 a -15% (SE),olympics.com; soccerway
E9,2026-06-29,2026-06-29,14,16,*,evento_documentado,sinalizar,Copa 2026: 32 avos 14h (segunda-feira); carga -19 a -22% (SE),olympics.com; soccerway
E10,2026-07-05,2026-07-05,17,19,*,evento_documentado,sinalizar,Copa 2026: oitavas 17h (domingo); carga -15 a -18% (SE),olympics.com; soccerway
C1,2023-11-13,2023-11-17,,,SE,clima_documentado,sinalizar,Onda de calor: SE +20 a +24% vs semana anterior em 13-14/11; 61.217 MWmed às 14h de 14/11 (recorde do SE até fev/2025),Imprensa/ONS nov 2023
C2,2025-02-21,2025-02-26,,,*,clima_documentado,sinalizar,Onda de calor: sequência de recordes de demanda instantânea do SIN; 106.532 MW às 14h27 de 26/02 (horária 106.149 MWmed),MME/ONS fev 2025
C3,2020-03-12,2020-03-15,,,S,clima_hipotese,sinalizar,Sul +17 a +23% vs mesmo tipo de dia; imediatamente antes do isolamento social,docs/07-anomalias.md
C4,2022-01-16,2022-01-23,,,S,clima_hipotese,sinalizar,Sul +16 a +22% vs mesmo tipo de dia (verão),docs/07-anomalias.md
C5,2023-12-14,2023-12-18,,,S,clima_hipotese,sinalizar,Sul +16 a +24% vs mesmo tipo de dia,docs/07-anomalias.md
C6,2024-11-09,2024-11-09,,,S,clima_hipotese,sinalizar,Sábado com perfil de domingo de inverno (-20%; carga diurna de 7.6 GW contra 13-14 GW no sábado anterior); ONS sem ocorrências; provável frente fria,docs/07-anomalias.md
C7,2026-05-03,2026-05-10,,,S,clima_hipotese,sinalizar,Dois domingos -20% de dia e rampa noturna acentuada; provável frio,docs/07-anomalias.md
